date,funding_sum,funding_mean,funding_n
2021-07-08,0.0001756400,0.0000585467,3
2021-07-09,0.0002247100,0.0000749033,3
2021-07-10,0.0003000000,0.0001000000,3
2021-07-11,0.0003000000,0.0001000000,3
2021-07-12,0.0003000000,0.0001000000,3
2021-07-13,0.0001856400,0.0000618800,3
2021-07-14,0.0001845000,0.0000615000,3
2021-07-15,0.0002565500,0.0000855167,3
2021-07-16,0.0002678500,0.0000892833,3
2021-07-17,0.0002531300,0.0000843767,3
2021-07-18,0.0003000000,0.0001000000,3
2021-07-19,0.0000119900,0.0000039967,3
2021-07-20,-0.0004889300,-0.0001629767,3
2021-07-21,-0.0005418200,-0.0001806067,3
2021-07-22,0.0003000000,0.0001000000,3
2021-07-23,0.0002864300,0.0000954767,3
2021-07-24,0.0001738600,0.0000579533,3
2021-07-25,0.0001344800,0.0000448267,3
2021-07-26,0.0003000000,0.0001000000,3
2021-07-27,0.0003000000,0.0001000000,3
2021-07-28,0.0002561800,0.0000853933,3
2021-07-29,0.0002572300,0.0000857433,3
2021-07-30,0.0003000000,0.0001000000,3
2021-07-31,0.0003000000,0.0001000000,3
2021-08-01,0.0003000000,0.0001000000,3
2021-08-02,0.0003000000,0.0001000000,3
2021-08-03,0.0002075900,0.0000691967,3
2021-08-04,0.0001966300,0.0000655433,3
2021-08-05,0.0003000000,0.0001000000,3
2021-08-06,0.0003000000,0.0001000000,3
2021-08-07,0.0003820200,0.0001273400,3
2021-08-08,0.0003362700,0.0001120900,3
2021-08-09,0.0004539500,0.0001513167,3
2021-08-10,0.0006573400,0.0002191133,3
2021-08-11,0.0007886000,0.0002628667,3
2021-08-12,0.0004218700,0.0001406233,3
2021-08-13,0.0006219600,0.0002073200,3
2021-08-14,0.0008669100,0.0002889700,3
2021-08-15,0.0006276300,0.0002092100,3
2021-08-16,0.0004579300,0.0001526433,3
2021-08-17,0.0003000000,0.0001000000,3
2021-08-18,0.0003000000,0.0001000000,3
2021-08-19,0.0003000000,0.0001000000,3
2021-08-20,0.0007505000,0.0002501667,3
2021-08-21,0.0005674600,0.0001891533,3
2021-08-22,0.0005066600,0.0001688867,3
2021-08-23,0.0015868300,0.0005289433,3
2021-08-24,0.0011892400,0.0003964133,3
2021-08-25,0.0004646100,0.0001548700,3
